# weight index, dec(Q5.10), hex16
0,2,0002
1,24,0018
2,54,0036
3,14,000E
4,-55,FFC9
5,83,0053
6,87,0057
7,-65,FFBF
8,64,0040
9,19,0013
10,68,0044
11,-52,FFCC
12,33,0021
13,25,0019
14,40,0028
15,-43,FFD5
16,52,0034
17,88,0058
18,9,0009
19,-31,FFE1
20,28,001C
21,29,001D
22,23,0017
23,-24,FFE8
24,7,0007
25,13,000D
26,-55,FFC9
27,62,003E
28,-42,FFD6
29,13,000D
30,-3,FFFD
31,45,002D
32,34,0022
33,44,002C
34,-47,FFD1
35,-28,FFE4
36,13,000D
37,-10,FFF6
38,38,0026
39,-12,FFF4
40,55,0037
41,-27,FFE5
42,36,0024
43,19,0013
44,5,0005
45,64,0040
46,68,0044
47,30,001E
48,22,0016
49,41,0029
50,23,0017
51,46,002E
52,-22,FFEA
53,-47,FFD1
54,-25,FFE7
55,-46,FFD2
56,24,0018
57,-16,FFF0
58,-1,FFFF
59,54,0036
60,72,0048
61,52,0034
62,-20,FFEC
63,-25,FFE7
64,-22,FFEA
65,-22,FFEA
66,-11,FFF5
67,-25,FFE7
68,84,0054
69,51,0033
70,10,000A
71,-36,FFDC
72,84,0054
73,13,000D
74,-21,FFEB
75,9,0009
76,8,0008
77,13,000D
78,-59,FFC5
79,-6,FFFA
80,49,0031
81,14,000E
82,33,0021
83,67,0043
84,-37,FFDB
85,-5,FFFB
86,-41,FFD7
87,16,0010
88,-21,FFEB
89,-27,FFE5
90,12,000C
91,28,001C
92,29,001D
93,-55,FFC9
94,47,002F
95,71,0047
96,-34,FFDE
97,19,0013
98,-38,FFDA
99,24,0018
100,65,0041
101,62,003E
102,-32,FFE0
103,-15,FFF1
104,62,003E
105,67,0043
106,75,004B
107,4,0004
108,3,0003
109,65,0041
110,-47,FFD1
111,-21,FFEB
112,14,000E
113,-69,FFBB
114,-9,FFF7
115,-45,FFD3
116,-37,FFDB
117,-13,FFF3
118,46,002E
119,62,003E
120,26,001A
121,44,002C
122,59,003B
123,72,0048
124,-8,FFF8
125,37,0025
126,12,000C
127,-55,FFC9
128,25,0019
129,82,0052
130,43,002B
131,15,000F
132,58,003A
133,-57,FFC7
134,-49,FFCF
135,-25,FFE7
136,78,004E
137,9,0009
138,-47,FFD1
139,-26,FFE6
140,46,002E
141,10,000A
142,9,0009
143,-6,FFFA
144,-12,FFF4
145,-16,FFF0
146,-5,FFFB
147,31,001F
148,-8,FFF8
149,34,0022
150,29,001D
151,92,005C
152,51,0033
153,40,0028
154,19,0013
155,-27,FFE5
156,-33,FFDF
157,-55,FFC9
158,36,0024
159,17,0011
160,-58,FFC6
161,36,0024
162,5,0005
163,4,0004
164,13,000D
165,14,000E
166,15,000F
167,-36,FFDC
168,-19,FFED
169,13,000D
170,63,003F
171,20,0014
172,49,0031
173,1,0001
174,-8,FFF8
175,-40,FFD8
176,59,003B
177,-13,FFF3
178,22,0016
179,-18,FFEE
180,-16,FFF0
181,-40,FFD8
182,15,000F
183,-63,FFC1
184,-18,FFEE
185,33,0021
186,-31,FFE1
187,53,0035
188,-42,FFD6
189,44,002C
190,69,0045
191,67,0043
192,51,0033
193,-21,FFEB
194,56,0038
195,-27,FFE5
196,52,0034
197,80,0050
198,52,0034
199,2,0002
200,58,003A
201,51,0033
202,65,0041
203,60,003C
204,-51,FFCD
205,0,0000
206,34,0022
207,14,000E
208,-42,FFD6
209,-30,FFE2
210,55,0037
211,78,004E
212,38,0026
213,-20,FFEC
214,30,001E
215,-33,FFDF
216,-15,FFF1
217,53,0035
218,6,0006
219,-25,FFE7
220,17,0011
221,-31,FFE1
222,52,0034
223,20,0014
224,-4,FFFC
225,-52,FFCC
226,47,002F
227,63,003F
228,24,0018
229,-20,FFEC
230,-7,FFF9
231,-48,FFD0
232,19,0013
233,-39,FFD9
234,63,003F
235,14,000E
236,-9,FFF7
237,67,0043
238,86,0056
239,27,001B
240,-15,FFF1
241,71,0047
242,-55,FFC9
243,77,004D
244,-28,FFE4
245,22,0016
246,74,004A
247,72,0048
248,1,0001
249,39,0027
250,-62,FFC2
251,60,003C
252,-16,FFF0
253,-36,FFDC
254,-8,FFF8
255,1,0001
