# weight index, dec(Q5.10), hex16
0,21,0015
1,5,0005
2,30,001E
3,81,0051
4,-21,FFEB
5,15,000F
6,-46,FFD2
7,-35,FFDD
8,33,0021
9,23,0017
10,-5,FFFB
11,16,0010
12,-33,FFDF
13,-19,FFED
14,26,001A
15,13,000D
16,24,0018
17,-43,FFD5
18,31,001F
19,18,0012
20,18,0012
21,-10,FFF6
22,-17,FFEF
23,-41,FFD7
24,68,0044
25,-28,FFE4
26,78,004E
27,-3,FFFD
28,73,0049
29,41,0029
30,-38,FFDA
31,18,0012
32,59,003B
33,40,0028
34,-1,FFFF
35,55,0037
36,-44,FFD4
37,-5,FFFB
38,55,0037
39,76,004C
40,-8,FFF8
41,19,0013
42,53,0035
43,-41,FFD7
44,77,004D
45,-46,FFD2
46,-47,FFD1
47,8,0008
48,-45,FFD3
49,4,0004
50,30,001E
51,-27,FFE5
52,64,0040
53,68,0044
54,-11,FFF5
55,16,0010
56,-49,FFCF
57,-9,FFF7
58,38,0026
59,74,004A
60,20,0014
61,59,003B
62,20,0014
63,29,001D
64,-39,FFD9
65,12,000C
66,38,0026
67,21,0015
68,62,003E
69,-14,FFF2
70,10,000A
71,43,002B
72,-24,FFE8
73,54,0036
74,-31,FFE1
75,53,0035
76,66,0042
77,73,0049
78,-29,FFE3
79,38,0026
80,66,0042
81,54,0036
82,-11,FFF5
83,-10,FFF6
84,-7,FFF9
85,25,0019
86,-11,FFF5
87,-13,FFF3
88,-56,FFC8
89,65,0041
90,20,0014
91,-34,FFDE
92,-52,FFCC
93,44,002C
94,-29,FFE3
95,67,0043
96,44,002C
97,-47,FFD1
98,1,0001
99,73,0049
100,-20,FFEC
101,17,0011
102,-11,FFF5
103,74,004A
104,77,004D
105,-50,FFCE
106,-17,FFEF
107,-7,FFF9
108,18,0012
109,32,0020
110,-17,FFEF
111,10,000A
112,12,000C
113,-43,FFD5
114,-54,FFCA
115,-25,FFE7
116,-26,FFE6
117,63,003F
118,-45,FFD3
119,-1,FFFF
120,32,0020
121,-11,FFF5
122,-26,FFE6
123,49,0031
124,39,0027
125,69,0045
126,15,000F
127,57,0039
128,55,0037
129,-15,FFF1
130,23,0017
131,62,003E
132,-41,FFD7
133,41,0029
134,-17,FFEF
135,49,0031
136,65,0041
137,76,004C
138,46,002E
139,-50,FFCE
140,-2,FFFE
141,15,000F
142,-49,FFCF
143,-53,FFCB
144,-44,FFD4
145,20,0014
146,-55,FFC9
147,-26,FFE6
148,61,003D
149,54,0036
150,31,001F
151,-11,FFF5
152,42,002A
153,60,003C
154,73,0049
155,1,0001
156,22,0016
157,38,0026
158,11,000B
159,-21,FFEB
160,-11,FFF5
161,79,004F
162,-51,FFCD
163,33,0021
164,-49,FFCF
165,53,0035
166,57,0039
167,9,0009
168,29,001D
169,-20,FFEC
170,-3,FFFD
171,43,002B
172,42,002A
173,-24,FFE8
174,60,003C
175,-42,FFD6
176,33,0021
177,18,0012
178,50,0032
179,-31,FFE1
180,57,0039
181,50,0032
182,-7,FFF9
183,40,0028
184,-5,FFFB
185,45,002D
186,-21,FFEB
187,50,0032
188,29,001D
189,24,0018
190,64,0040
191,31,001F
192,59,003B
193,-20,FFEC
194,-19,FFED
195,-53,FFCB
196,12,000C
197,5,0005
198,-48,FFD0
199,41,0029
200,-12,FFF4
201,-27,FFE5
202,58,003A
203,22,0016
204,72,0048
205,67,0043
206,-28,FFE4
207,45,002D
208,77,004D
209,76,004C
210,-19,FFED
211,-19,FFED
212,27,001B
213,-37,FFDB
214,-5,FFFB
215,-24,FFE8
216,-22,FFEA
217,-10,FFF6
218,16,0010
219,52,0034
220,13,000D
221,-16,FFF0
222,-44,FFD4
223,72,0048
224,15,000F
225,58,003A
226,21,0015
227,40,0028
228,56,0038
229,57,0039
230,3,0003
231,-42,FFD6
232,20,0014
233,-39,FFD9
234,-4,FFFC
235,74,004A
236,15,000F
237,58,003A
238,28,001C
239,-2,FFFE
240,17,0011
241,4,0004
242,-7,FFF9
243,43,002B
244,-32,FFE0
245,-2,FFFE
246,-28,FFE4
247,-2,FFFE
248,18,0012
249,7,0007
250,16,0010
251,-40,FFD8
252,34,0022
253,-7,FFF9
254,-47,FFD1
255,6,0006
