# weight index, dec(Q5.10), hex16
0,50,0032
1,60,003C
2,-37,FFDB
3,-22,FFEA
4,-22,FFEA
5,-10,FFF6
6,74,004A
7,-38,FFDA
8,29,001D
9,-46,FFD2
10,21,0015
11,-1,FFFF
12,-18,FFEE
13,-33,FFDF
14,17,0011
15,-12,FFF4
16,54,0036
17,60,003C
18,12,000C
19,24,0018
20,42,002A
21,-61,FFC3
22,17,0011
23,53,0035
24,38,0026
25,-20,FFEC
26,47,002F
27,-32,FFE0
28,-33,FFDF
29,62,003E
30,-54,FFCA
31,-33,FFDF
32,22,0016
33,-3,FFFD
34,58,003A
35,33,0021
36,-34,FFDE
37,-10,FFF6
38,-10,FFF6
39,-47,FFD1
40,-22,FFEA
41,68,0044
42,58,003A
43,9,0009
44,13,000D
45,51,0033
46,-1,FFFF
47,45,002D
48,-61,FFC3
49,72,0048
50,73,0049
51,8,0008
52,46,002E
53,22,0016
54,63,003F
55,6,0006
56,-33,FFDF
57,37,0025
58,32,0020
59,-19,FFED
60,-4,FFFC
61,80,0050
62,26,001A
63,17,0011
64,63,003F
65,-23,FFE9
66,10,000A
67,43,002B
68,52,0034
69,68,0044
70,-17,FFEF
71,44,002C
72,-30,FFE2
73,15,000F
74,-40,FFD8
75,-6,FFFA
76,-27,FFE5
77,-44,FFD4
78,41,0029
79,72,0048
80,30,001E
81,35,0023
82,25,0019
83,15,000F
84,76,004C
85,9,0009
86,63,003F
87,52,0034
88,73,0049
89,-39,FFD9
90,81,0051
91,28,001C
92,5,0005
93,60,003C
94,-33,FFDF
95,8,0008
96,58,003A
97,32,0020
98,82,0052
99,10,000A
100,-60,FFC4
101,-9,FFF7
102,-31,FFE1
103,2,0002
104,-36,FFDC
105,14,000E
106,3,0003
107,-31,FFE1
108,10,000A
109,34,0022
110,-40,FFD8
111,10,000A
112,71,0047
113,-6,FFFA
114,44,002C
115,33,0021
116,63,003F
117,17,0011
118,42,002A
119,11,000B
120,43,002B
121,71,0047
122,-31,FFE1
123,-4,FFFC
124,26,001A
125,64,0040
126,56,0038
127,20,0014
128,75,004B
129,2,0002
130,77,004D
131,33,0021
132,38,0026
133,-44,FFD4
134,17,0011
135,5,0005
136,43,002B
137,20,0014
138,-44,FFD4
139,82,0052
140,-44,FFD4
141,56,0038
142,66,0042
143,69,0045
144,46,002E
145,6,0006
146,48,0030
147,2,0002
148,40,0028
149,-23,FFE9
150,-21,FFEB
151,14,000E
152,30,001E
153,-5,FFFB
154,60,003C
155,13,000D
156,7,0007
157,-40,FFD8
158,50,0032
159,2,0002
160,74,004A
161,-19,FFED
162,-45,FFD3
163,-11,FFF5
164,-10,FFF6
165,41,0029
166,68,0044
167,58,003A
168,-30,FFE2
169,-41,FFD7
170,-30,FFE2
171,-47,FFD1
172,52,0034
173,20,0014
174,-28,FFE4
175,-38,FFDA
176,-27,FFE5
177,39,0027
178,-45,FFD3
179,1,0001
180,13,000D
181,-16,FFF0
182,28,001C
183,7,0007
184,-21,FFEB
185,5,0005
186,-31,FFE1
187,28,001C
188,-1,FFFF
189,-17,FFEF
190,5,0005
191,73,0049
192,-43,FFD5
193,70,0046
194,-32,FFE0
195,-22,FFEA
196,-3,FFFD
197,-13,FFF3
198,74,004A
199,-45,FFD3
200,16,0010
201,-30,FFE2
202,23,0017
203,3,0003
204,37,0025
205,-26,FFE6
206,48,0030
207,-34,FFDE
208,-2,FFFE
209,8,0008
210,-8,FFF8
211,-23,FFE9
212,-30,FFE2
213,73,0049
214,-62,FFC2
215,39,0027
216,68,0044
217,72,0048
218,52,0034
219,61,003D
220,-26,FFE6
221,6,0006
222,9,0009
223,8,0008
224,11,000B
225,17,0011
226,-38,FFDA
227,29,001D
228,-45,FFD3
229,78,004E
230,44,002C
231,70,0046
232,-6,FFFA
233,-8,FFF8
234,4,0004
235,-36,FFDC
236,21,0015
237,-17,FFEF
238,-30,FFE2
239,-9,FFF7
240,17,0011
241,10,000A
242,23,0017
243,53,0035
244,6,0006
245,-9,FFF7
246,70,0046
247,50,0032
248,-20,FFEC
249,62,003E
250,-45,FFD3
251,-8,FFF8
252,30,001E
253,29,001D
254,11,000B
255,42,002A
