# weight index, dec(Q5.10), hex16
0,57,0039
1,18,0012
2,-38,FFDA
3,72,0048
4,27,001B
5,35,0023
6,18,0012
7,46,002E
8,25,0019
9,-26,FFE6
10,52,0034
11,24,0018
12,-58,FFC6
13,59,003B
14,60,003C
15,-15,FFF1
16,39,0027
17,-32,FFE0
18,18,0012
19,-26,FFE6
20,36,0024
21,47,002F
22,5,0005
23,51,0033
24,-38,FFDA
25,1,0001
26,82,0052
27,-29,FFE3
28,76,004C
29,46,002E
30,59,003B
31,43,002B
32,22,0016
33,-17,FFEF
34,-28,FFE4
35,40,0028
36,-12,FFF4
37,-46,FFD2
38,78,004E
39,13,000D
40,-22,FFEA
41,3,0003
42,-43,FFD5
43,-4,FFFC
44,-34,FFDE
45,54,0036
46,62,003E
47,-36,FFDC
48,-12,FFF4
49,49,0031
50,-45,FFD3
51,30,001E
52,52,0034
53,-16,FFF0
54,25,0019
55,13,000D
56,16,0010
57,-9,FFF7
58,23,0017
59,-37,FFDB
60,56,0038
61,28,001C
62,36,0024
63,21,0015
64,-38,FFDA
65,8,0008
66,-33,FFDF
67,-29,FFE3
68,79,004F
69,18,0012
70,56,0038
71,-4,FFFC
72,-53,FFCB
73,63,003F
74,19,0013
75,57,0039
76,-40,FFD8
77,-36,FFDC
78,-35,FFDD
79,-51,FFCD
80,46,002E
81,-50,FFCE
82,19,0013
83,-17,FFEF
84,59,003B
85,2,0002
86,22,0016
87,-8,FFF8
88,11,000B
89,-10,FFF6
90,-8,FFF8
91,36,0024
92,28,001C
93,-12,FFF4
94,75,004B
95,22,0016
96,10,000A
97,-39,FFD9
98,25,0019
99,-38,FFDA
100,68,0044
101,90,005A
102,-41,FFD7
103,-39,FFD9
104,20,0014
105,-18,FFEE
106,-42,FFD6
107,-25,FFE7
108,6,0006
109,40,0028
110,-19,FFED
111,-3,FFFD
112,-30,FFE2
113,-9,FFF7
114,-52,FFCC
115,-32,FFE0
116,18,0012
117,63,003F
118,-3,FFFD
119,38,0026
120,-48,FFD0
121,0,0000
122,65,0041
123,41,0029
124,52,0034
125,27,001B
126,21,0015
127,25,0019
128,19,0013
129,-48,FFD0
130,50,0032
131,41,0029
132,32,0020
133,-4,FFFC
134,-44,FFD4
135,27,001B
136,80,0050
137,14,000E
138,-18,FFEE
139,6,0006
140,-5,FFFB
141,-3,FFFD
142,11,000B
143,-2,FFFE
144,71,0047
145,-16,FFF0
146,-30,FFE2
147,-24,FFE8
148,55,0037
149,16,0010
150,-36,FFDC
151,39,0027
152,-31,FFE1
153,-12,FFF4
154,32,0020
155,-17,FFEF
156,12,000C
157,57,0039
158,63,003F
159,6,0006
160,-27,FFE5
161,36,0024
162,-18,FFEE
163,27,001B
164,-50,FFCE
165,8,0008
166,-28,FFE4
167,-38,FFDA
168,35,0023
169,-39,FFD9
170,-31,FFE1
171,41,0029
172,55,0037
173,-4,FFFC
174,7,0007
175,-42,FFD6
176,32,0020
177,54,0036
178,-18,FFEE
179,-61,FFC3
180,-46,FFD2
181,-24,FFE8
182,-36,FFDC
183,73,0049
184,-11,FFF5
185,63,003F
186,19,0013
187,22,0016
188,79,004F
189,7,0007
190,19,0013
191,29,001D
192,-11,FFF5
193,-8,FFF8
194,36,0024
195,-52,FFCC
196,-11,FFF5
197,-36,FFDC
198,29,001D
199,-22,FFEA
200,-52,FFCC
201,-53,FFCB
202,60,003C
203,-4,FFFC
204,9,0009
205,-5,FFFB
206,22,0016
207,28,001C
208,63,003F
209,-8,FFF8
210,74,004A
211,47,002F
212,6,0006
213,10,000A
214,89,0059
215,9,0009
216,42,002A
217,30,001E
218,66,0042
219,-26,FFE6
220,-13,FFF3
221,21,0015
222,-33,FFDF
223,-3,FFFD
224,-38,FFDA
225,28,001C
226,-41,FFD7
227,-42,FFD6
228,61,003D
229,64,0040
230,9,0009
231,-54,FFCA
232,48,0030
233,80,0050
234,9,0009
235,34,0022
236,-42,FFD6
237,40,0028
238,59,003B
239,63,003F
240,21,0015
241,37,0025
242,40,0028
243,66,0042
244,-43,FFD5
245,62,003E
246,20,0014
247,-17,FFEF
248,-37,FFDB
249,-44,FFD4
250,21,0015
251,11,000B
252,-37,FFDB
253,5,0005
254,-40,FFD8
255,47,002F
