# weight index, dec(Q5.10), hex16
0,34,0022
1,46,002E
2,50,0032
3,-69,FFBB
4,-27,FFE5
5,74,004A
6,10,000A
7,4,0004
8,5,0005
9,16,0010
10,6,0006
11,-21,FFEB
12,29,001D
13,48,0030
14,41,0029
15,-1,FFFF
16,66,0042
17,85,0055
18,45,002D
19,-41,FFD7
20,35,0023
21,54,0036
22,-21,FFEB
23,-4,FFFC
24,41,0029
25,56,0038
26,-10,FFF6
27,-37,FFDB
28,37,0025
29,83,0053
30,-3,FFFD
31,9,0009
32,55,0037
33,-57,FFC7
34,-74,FFB6
35,14,000E
36,3,0003
37,59,003B
38,30,001E
39,51,0033
40,-56,FFC8
41,-30,FFE2
42,17,0011
43,-42,FFD6
44,58,003A
45,69,0045
46,54,0036
47,32,0020
48,57,0039
49,-13,FFF3
50,41,0029
51,33,0021
52,25,0019
53,-56,FFC8
54,-39,FFD9
55,38,0026
56,-36,FFDC
57,-24,FFE8
58,-64,FFC0
59,75,004B
60,49,0031
61,-25,FFE7
62,8,0008
63,-18,FFEE
64,-14,FFF2
65,82,0052
66,-48,FFD0
67,36,0024
68,24,0018
69,17,0011
70,49,0031
71,38,0026
72,35,0023
73,-16,FFF0
74,44,002C
75,51,0033
76,-47,FFD1
77,-11,FFF5
78,-44,FFD4
79,39,0027
80,-43,FFD5
81,-24,FFE8
82,-19,FFED
83,60,003C
84,-47,FFD1
85,-31,FFE1
86,43,002B
87,51,0033
88,68,0044
89,39,0027
90,-51,FFCD
91,-3,FFFD
92,-27,FFE5
93,-7,FFF9
94,37,0025
95,-9,FFF7
96,16,0010
97,72,0048
98,40,0028
99,-68,FFBC
100,30,001E
101,-50,FFCE
102,-62,FFC2
103,-10,FFF6
104,-33,FFDF
105,6,0006
106,0,0000
107,43,002B
108,51,0033
109,-13,FFF3
110,52,0034
111,-38,FFDA
112,0,0000
113,53,0035
114,65,0041
115,54,0036
116,38,0026
117,12,000C
118,63,003F
119,-12,FFF4
120,46,002E
121,33,0021
122,41,0029
123,35,0023
124,-16,FFF0
125,-74,FFB6
126,-9,FFF7
127,-48,FFD0
128,38,0026
129,30,001E
130,-56,FFC8
131,4,0004
132,-51,FFCD
133,-22,FFEA
134,13,000D
135,37,0025
136,61,003D
137,53,0035
138,-41,FFD7
139,0,0000
140,26,001A
141,22,0016
142,-66,FFBE
143,-45,FFD3
144,9,0009
145,51,0033
146,1,0001
147,16,0010
148,25,0019
149,-35,FFDD
150,-41,FFD7
151,11,000B
152,15,000F
153,-44,FFD4
154,-58,FFC6
155,26,001A
156,52,0034
157,30,001E
158,55,0037
159,21,0015
160,12,000C
161,1,0001
162,-13,FFF3
163,1,0001
164,55,0037
165,-62,FFC2
166,5,0005
167,27,001B
168,12,000C
169,-20,FFEC
170,3,0003
171,39,0027
172,27,001B
173,22,0016
174,-11,FFF5
175,-25,FFE7
176,-52,FFCC
177,-7,FFF9
178,41,0029
179,-59,FFC5
180,12,000C
181,-43,FFD5
182,27,001B
183,-7,FFF9
184,26,001A
185,-19,FFED
186,75,004B
187,31,001F
188,-20,FFEC
189,-46,FFD2
190,2,0002
191,-6,FFFA
192,-74,FFB6
193,-20,FFEC
194,-71,FFB9
195,59,003B
196,13,000D
197,5,0005
198,1,0001
199,44,002C
200,-74,FFB6
201,-44,FFD4
202,7,0007
203,-33,FFDF
204,-43,FFD5
205,11,000B
206,-22,FFEA
207,-8,FFF8
208,18,0012
209,58,003A
210,-40,FFD8
211,76,004C
212,-3,FFFD
213,41,0029
214,14,000E
215,62,003E
216,35,0023
217,-26,FFE6
218,-42,FFD6
219,58,003A
220,5,0005
221,-8,FFF8
222,84,0054
223,-12,FFF4
224,-48,FFD0
225,34,0022
226,51,0033
227,61,003D
228,-53,FFCB
229,-42,FFD6
230,16,0010
231,17,0011
232,6,0006
233,-1,FFFF
234,32,0020
235,21,0015
236,54,0036
237,64,0040
238,-8,FFF8
239,-46,FFD2
240,-12,FFF4
241,20,0014
242,55,0037
243,39,0027
244,-27,FFE5
245,31,001F
246,61,003D
247,70,0046
248,22,0016
249,-41,FFD7
250,30,001E
251,12,000C
252,3,0003
253,20,0014
254,-36,FFDC
255,-4,FFFC
