# weight index, dec(Q5.10), hex16
0,-36,FFDC
1,33,0021
2,83,0053
3,-12,FFF4
4,-44,FFD4
5,4,0004
6,38,0026
7,-56,FFC8
8,28,001C
9,40,0028
10,32,0020
11,29,001D
12,-30,FFE2
13,27,001B
14,-7,FFF9
15,16,0010
16,76,004C
17,-24,FFE8
18,-41,FFD7
19,-50,FFCE
20,45,002D
21,62,003E
22,-11,FFF5
23,36,0024
24,45,002D
25,-9,FFF7
26,5,0005
27,-49,FFCF
28,81,0051
29,-7,FFF9
30,50,0032
31,40,0028
32,-39,FFD9
33,-54,FFCA
34,-24,FFE8
35,17,0011
36,-26,FFE6
37,44,002C
38,-12,FFF4
39,55,0037
40,-16,FFF0
41,56,0038
42,-34,FFDE
43,-6,FFFA
44,-28,FFE4
45,30,001E
46,76,004C
47,35,0023
48,-24,FFE8
49,67,0043
50,49,0031
51,63,003F
52,81,0051
53,-42,FFD6
54,3,0003
55,-40,FFD8
56,-21,FFEB
57,-51,FFCD
58,43,002B
59,-40,FFD8
60,42,002A
61,-23,FFE9
62,-31,FFE1
63,52,0034
64,-34,FFDE
65,75,004B
66,-5,FFFB
67,-26,FFE6
68,-16,FFF0
69,-20,FFEC
70,-24,FFE8
71,1,0001
72,87,0057
73,27,001B
74,66,0042
75,1,0001
76,46,002E
77,52,0034
78,68,0044
79,58,003A
80,24,0018
81,-8,FFF8
82,71,0047
83,71,0047
84,41,0029
85,-20,FFEC
86,60,003C
87,56,0038
88,11,000B
89,87,0057
90,-53,FFCB
91,1,0001
92,-36,FFDC
93,61,003D
94,-14,FFF2
95,-30,FFE2
96,18,0012
97,-19,FFED
98,-17,FFEF
99,57,0039
100,51,0033
101,-32,FFE0
102,-10,FFF6
103,22,0016
104,9,0009
105,-11,FFF5
106,-9,FFF7
107,-19,FFED
108,-14,FFF2
109,59,003B
110,-26,FFE6
111,-7,FFF9
112,-67,FFBD
113,47,002F
114,21,0015
115,-5,FFFB
116,38,0026
117,-22,FFEA
118,49,0031
119,-33,FFDF
120,66,0042
121,-3,FFFD
122,63,003F
123,-50,FFCE
124,49,0031
125,11,000B
126,28,001C
127,12,000C
128,48,0030
129,4,0004
130,-24,FFE8
131,84,0054
132,-56,FFC8
133,-19,FFED
134,-3,FFFD
135,-44,FFD4
136,-3,FFFD
137,85,0055
138,-11,FFF5
139,-48,FFD0
140,46,002E
141,-10,FFF6
142,43,002B
143,47,002F
144,74,004A
145,83,0053
146,-29,FFE3
147,-1,FFFF
148,29,001D
149,-33,FFDF
150,-55,FFC9
151,74,004A
152,-45,FFD3
153,-29,FFE3
154,44,002C
155,51,0033
156,31,001F
157,63,003F
158,54,0036
159,61,003D
160,-1,FFFF
161,-21,FFEB
162,83,0053
163,7,0007
164,-25,FFE7
165,-44,FFD4
166,-20,FFEC
167,0,0000
168,-22,FFEA
169,15,000F
170,72,0048
171,-8,FFF8
172,-31,FFE1
173,23,0017
174,58,003A
175,-66,FFBE
176,-8,FFF8
177,-32,FFE0
178,25,0019
179,1,0001
180,50,0032
181,59,003B
182,22,0016
183,-20,FFEC
184,26,001A
185,0,0000
186,1,0001
187,40,0028
188,-63,FFC1
189,18,0012
190,6,0006
191,7,0007
192,-45,FFD3
193,26,001A
194,8,0008
195,53,0035
196,46,002E
197,-3,FFFD
198,80,0050
199,-38,FFDA
200,17,0011
201,-29,FFE3
202,-33,FFDF
203,4,0004
204,69,0045
205,-4,FFFC
206,-5,FFFB
207,68,0044
208,32,0020
209,-21,FFEB
210,17,0011
211,56,0038
212,23,0017
213,19,0013
214,1,0001
215,81,0051
216,67,0043
217,-1,FFFF
218,-34,FFDE
219,10,000A
220,-9,FFF7
221,74,004A
222,51,0033
223,44,002C
224,13,000D
225,58,003A
226,46,002E
227,81,0051
228,5,0005
229,63,003F
230,-5,FFFB
231,15,000F
232,-6,FFFA
233,65,0041
234,-2,FFFE
235,47,002F
236,15,000F
237,-30,FFE2
238,79,004F
239,-19,FFED
240,-10,FFF6
241,-35,FFDD
242,28,001C
243,88,0058
244,50,0032
245,-11,FFF5
246,62,003E
247,22,0016
248,-29,FFE3
249,-32,FFE0
250,51,0033
251,17,0011
252,80,0050
253,-38,FFDA
254,-10,FFF6
255,-46,FFD2
