# weight index, dec(Q5.10), hex16
0,53,0035
1,-30,FFE2
2,39,0027
3,-37,FFDB
4,-2,FFFE
5,21,0015
6,16,0010
7,14,000E
8,-30,FFE2
9,-28,FFE4
10,44,002C
11,-34,FFDE
12,34,0022
13,-16,FFF0
14,-49,FFCF
15,37,0025
16,51,0033
17,-33,FFDF
18,-26,FFE6
19,-30,FFE2
20,-25,FFE7
21,-35,FFDD
22,-3,FFFD
23,-32,FFE0
24,35,0023
25,49,0031
26,-33,FFDF
27,-2,FFFE
28,44,002C
29,-33,FFDF
30,62,003E
31,58,003A
32,36,0024
33,56,0038
34,83,0053
35,36,0024
36,-10,FFF6
37,69,0045
38,-35,FFDD
39,-37,FFDB
40,23,0017
41,35,0023
42,48,0030
43,-26,FFE6
44,-21,FFEB
45,-28,FFE4
46,49,0031
47,63,003F
48,-16,FFF0
49,30,001E
50,-26,FFE6
51,-16,FFF0
52,7,0007
53,17,0011
54,-31,FFE1
55,55,0037
56,-4,FFFC
57,55,0037
58,61,003D
59,2,0002
60,17,0011
61,-1,FFFF
62,-11,FFF5
63,-41,FFD7
64,9,0009
65,-25,FFE7
66,47,002F
67,27,001B
68,28,001C
69,17,0011
70,-16,FFF0
71,19,0013
72,-29,FFE3
73,9,0009
74,-55,FFC9
75,-59,FFC5
76,80,0050
77,-45,FFD3
78,29,001D
79,-40,FFD8
80,-2,FFFE
81,-55,FFC9
82,57,0039
83,22,0016
84,39,0027
85,-33,FFDF
86,53,0035
87,76,004C
88,-43,FFD5
89,-57,FFC7
90,-14,FFF2
91,-10,FFF6
92,62,003E
93,31,001F
94,12,000C
95,43,002B
96,7,0007
97,2,0002
98,-59,FFC5
99,14,000E
100,-52,FFCC
101,-42,FFD6
102,80,0050
103,43,002B
104,1,0001
105,-33,FFDF
106,-47,FFD1
107,-52,FFCC
108,-54,FFCA
109,18,0012
110,14,000E
111,76,004C
112,-33,FFDF
113,11,000B
114,-43,FFD5
115,-5,FFFB
116,55,0037
117,67,0043
118,0,0000
119,33,0021
120,-56,FFC8
121,-20,FFEC
122,30,001E
123,-28,FFE4
124,-46,FFD2
125,62,003E
126,-19,FFED
127,65,0041
128,5,0005
129,4,0004
130,34,0022
131,9,0009
132,75,004B
133,22,0016
134,73,0049
135,26,001A
136,0,0000
137,43,002B
138,-13,FFF3
139,84,0054
140,-59,FFC5
141,19,0013
142,80,0050
143,-54,FFCA
144,-38,FFDA
145,44,002C
146,58,003A
147,-42,FFD6
148,18,0012
149,-14,FFF2
150,67,0043
151,-39,FFD9
152,8,0008
153,57,0039
154,61,003D
155,-20,FFEC
156,5,0005
157,5,0005
158,3,0003
159,-41,FFD7
160,30,001E
161,45,002D
162,-19,FFED
163,67,0043
164,54,0036
165,30,001E
166,49,0031
167,-12,FFF4
168,-29,FFE3
169,19,0013
170,34,0022
171,-59,FFC5
172,78,004E
173,-37,FFDB
174,-2,FFFE
175,20,0014
176,-28,FFE4
177,-13,FFF3
178,-40,FFD8
179,57,0039
180,-29,FFE3
181,6,0006
182,-10,FFF6
183,24,0018
184,-13,FFF3
185,14,000E
186,-7,FFF9
187,27,001B
188,46,002E
189,74,004A
190,62,003E
191,60,003C
192,47,002F
193,-31,FFE1
194,-27,FFE5
195,73,0049
196,-17,FFEF
197,14,000E
198,3,0003
199,78,004E
200,5,0005
201,27,001B
202,-38,FFDA
203,64,0040
204,16,0010
205,-3,FFFD
206,64,0040
207,-3,FFFD
208,-27,FFE5
209,-1,FFFF
210,44,002C
211,-37,FFDB
212,32,0020
213,63,003F
214,71,0047
215,33,0021
216,32,0020
217,-39,FFD9
218,46,002E
219,2,0002
220,42,002A
221,21,0015
222,-58,FFC6
223,4,0004
224,7,0007
225,49,0031
226,-43,FFD5
227,9,0009
228,13,000D
229,-22,FFEA
230,4,0004
231,-21,FFEB
232,48,0030
233,44,002C
234,-27,FFE5
235,38,0026
236,67,0043
237,54,0036
238,-21,FFEB
239,81,0051
240,24,0018
241,2,0002
242,50,0032
243,-5,FFFB
244,-39,FFD9
245,37,0025
246,32,0020
247,43,002B
248,-33,FFDF
249,-42,FFD6
250,90,005A
251,-36,FFDC
252,34,0022
253,-15,FFF1
254,-36,FFDC
255,-12,FFF4
