input_idx,input_val,weight,prod,contrib
0,33,53,1749,1
1,96,-30,-2880,-3
2,0,39,0,0
3,115,-37,-4255,-5
4,128,-2,-256,-1
5,36,21,756,0
6,18,16,288,0
7,145,14,2030,1
8,0,-30,0,0
9,0,-28,0,0
10,0,44,0,0
11,0,-34,0,0
12,47,34,1598,1
13,111,-16,-1776,-2
14,0,-49,0,0
15,106,37,3922,3
16,0,51,0,0
17,0,-33,0,0
18,35,-26,-910,-1
19,67,-30,-2010,-2
20,35,-25,-875,-1
21,31,-35,-1085,-2
22,83,-3,-249,-1
23,78,-32,-2496,-3
24,38,35,1330,1
25,0,49,0,0
26,126,-33,-4158,-5
27,18,-2,-36,-1
28,93,44,4092,3
29,0,-33,0,0
30,88,62,5456,5
31,99,58,5742,5
32,0,36,0,0
33,0,56,0,0
34,0,83,0,0
35,0,36,0,0
36,126,-10,-1260,-2
37,133,69,9177,8
38,92,-35,-3220,-4
39,0,-37,0,0
40,0,23,0,0
41,0,35,0,0
42,0,48,0,0
43,131,-26,-3406,-4
44,123,-21,-2583,-3
45,133,-28,-3724,-4
46,133,49,6517,6
47,39,63,2457,2
48,86,-16,-1376,-2
49,147,30,4410,4
50,0,-26,0,0
51,15,-16,-240,-1
52,74,7,518,0
53,0,17,0,0
54,17,-31,-527,-1
55,101,55,5555,5
56,0,-4,0,0
57,36,55,1980,1
58,9,61,549,0
59,0,2,0,0
60,0,17,0,0
61,61,-1,-61,-1
62,0,-11,0,0
63,23,-41,-943,-1
64,0,9,0,0
65,0,-25,0,0
66,35,47,1645,1
67,148,27,3996,3
68,0,28,0,0
69,87,17,1479,1
70,0,-16,0,0
71,116,19,2204,2
72,0,-29,0,0
73,0,9,0,0
74,72,-55,-3960,-4
75,124,-59,-7316,-8
76,21,80,1680,1
77,30,-45,-1350,-2
78,0,29,0,0
79,6,-40,-240,-1
80,100,-2,-200,-1
81,0,-55,0,0
82,50,57,2850,2
83,48,22,1056,1
84,79,39,3081,3
85,0,-33,0,0
86,0,53,0,0
87,120,76,9120,8
88,0,-43,0,0
89,107,-57,-6099,-6
90,0,-14,0,0
91,0,-10,0,0
92,0,62,0,0
93,19,31,589,0
94,79,12,948,0
95,124,43,5332,5
96,0,7,0,0
97,135,2,270,0
98,0,-59,0,0
99,106,14,1484,1
100,12,-52,-624,-1
101,0,-42,0,0
102,0,80,0,0
103,75,43,3225,3
104,105,1,105,0
105,35,-33,-1155,-2
106,0,-47,0,0
107,66,-52,-3432,-4
108,0,-54,0,0
109,42,18,756,0
110,85,14,1190,1
111,112,76,8512,8
112,65,-33,-2145,-3
113,0,11,0,0
114,53,-43,-2279,-3
115,0,-5,0,0
116,123,55,6765,6
117,58,67,3886,3
118,94,0,0,0
119,0,33,0,0
120,0,-56,0,0
121,113,-20,-2260,-3
122,129,30,3870,3
123,112,-28,-3136,-4
124,0,-46,0,0
125,25,62,1550,1
126,0,-19,0,0
127,116,65,7540,7
128,57,5,285,0
129,32,4,128,0
130,0,34,0,0
131,60,9,540,0
132,0,75,0,0
133,48,22,1056,1
134,100,73,7300,7
135,127,26,3302,3
136,34,0,0,0
137,58,43,2494,2
138,0,-13,0,0
139,0,84,0,0
140,0,-59,0,0
141,0,19,0,0
142,47,80,3760,3
143,26,-54,-1404,-2
144,98,-38,-3724,-4
145,30,44,1320,1
146,53,58,3074,3
147,124,-42,-5208,-6
148,136,18,2448,2
149,0,-14,0,0
150,0,67,0,0
151,91,-39,-3549,-4
152,0,8,0,0
153,88,57,5016,4
154,0,61,0,0
155,33,-20,-660,-1
156,55,5,275,0
157,0,5,0,0
158,88,3,264,0
159,108,-41,-4428,-5
160,0,30,0,0
161,0,45,0,0
162,0,-19,0,0
163,0,67,0,0
164,0,54,0,0
165,3,30,90,0
166,67,49,3283,3
167,70,-12,-840,-1
168,0,-29,0,0
169,61,19,1159,1
170,105,34,3570,3
171,25,-59,-1475,-2
172,0,78,0,0
173,58,-37,-2146,-3
174,0,-2,0,0
175,0,20,0,0
176,93,-28,-2604,-3
177,81,-13,-1053,-2
178,110,-40,-4400,-5
179,0,57,0,0
180,0,-29,0,0
181,0,6,0,0
182,0,-10,0,0
183,0,24,0,0
184,0,-13,0,0
185,141,14,1974,1
186,0,-7,0,0
187,7,27,189,0
188,0,46,0,0
189,47,74,3478,3
190,26,62,1612,1
191,116,60,6960,6
192,0,47,0,0
193,0,-31,0,0
194,34,-27,-918,-1
195,0,73,0,0
196,0,-17,0,0
197,82,14,1148,1
198,0,3,0,0
199,0,78,0,0
200,0,5,0,0
201,26,27,702,0
202,115,-38,-4370,-5
203,0,64,0,0
204,3,16,48,0
205,31,-3,-93,-1
206,118,64,7552,7
207,76,-3,-228,-1
208,0,-27,0,0
209,0,-1,0,0
210,0,44,0,0
211,90,-37,-3330,-4
212,0,32,0,0
213,0,63,0,0
214,136,71,9656,9
215,61,33,2013,1
216,0,32,0,0
217,117,-39,-4563,-5
218,0,46,0,0
219,0,2,0,0
220,32,42,1344,1
221,0,21,0,0
222,0,-58,0,0
223,76,4,304,0
224,87,7,609,0
225,134,49,6566,6
226,0,-43,0,0
