input_idx,input_val,weight,prod,contrib
0,33,34,1122,1
1,96,46,4416,4
2,0,50,0,0
3,115,-69,-7935,-8
4,128,-27,-3456,-4
5,36,74,2664,2
6,18,10,180,0
7,145,4,580,0
8,0,5,0,0
9,0,16,0,0
10,0,6,0,0
11,0,-21,0,0
12,47,29,1363,1
13,111,48,5328,5
14,0,41,0,0
15,106,-1,-106,-1
16,0,66,0,0
17,0,85,0,0
18,35,45,1575,1
19,67,-41,-2747,-3
20,35,35,1225,1
21,31,54,1674,1
22,83,-21,-1743,-2
23,78,-4,-312,-1
24,38,41,1558,1
25,0,56,0,0
26,126,-10,-1260,-2
27,18,-37,-666,-1
28,93,37,3441,3
29,0,83,0,0
30,88,-3,-264,-1
31,99,9,891,0
32,0,55,0,0
33,0,-57,0,0
34,0,-74,0,0
35,0,14,0,0
36,126,3,378,0
37,133,59,7847,7
38,92,30,2760,2
39,0,51,0,0
40,0,-56,0,0
41,0,-30,0,0
42,0,17,0,0
43,131,-42,-5502,-6
44,123,58,7134,6
45,133,69,9177,8
46,133,54,7182,7
47,39,32,1248,1
48,86,57,4902,4
49,147,-13,-1911,-2
50,0,41,0,0
51,15,33,495,0
52,74,25,1850,1
53,0,-56,0,0
54,17,-39,-663,-1
55,101,38,3838,3
56,0,-36,0,0
57,36,-24,-864,-1
58,9,-64,-576,-1
59,0,75,0,0
60,0,49,0,0
61,61,-25,-1525,-2
62,0,8,0,0
63,23,-18,-414,-1
64,0,-14,0,0
65,0,82,0,0
66,35,-48,-1680,-2
67,148,36,5328,5
68,0,24,0,0
69,87,17,1479,1
70,0,49,0,0
71,116,38,4408,4
72,0,35,0,0
73,0,-16,0,0
74,72,44,3168,3
75,124,51,6324,6
76,21,-47,-987,-1
77,30,-11,-330,-1
78,0,-44,0,0
79,6,39,234,0
80,100,-43,-4300,-5
81,0,-24,0,0
82,50,-19,-950,-1
83,48,60,2880,2
84,79,-47,-3713,-4
85,0,-31,0,0
86,0,43,0,0
87,120,51,6120,5
88,0,68,0,0
89,107,39,4173,4
90,0,-51,0,0
91,0,-3,0,0
92,0,-27,0,0
93,19,-7,-133,-1
94,79,37,2923,2
95,124,-9,-1116,-2
96,0,16,0,0
97,135,72,9720,9
98,0,40,0,0
99,106,-68,-7208,-8
100,12,30,360,0
101,0,-50,0,0
102,0,-62,0,0
103,75,-10,-750,-1
104,105,-33,-3465,-4
105,35,6,210,0
106,0,0,0,0
107,66,43,2838,2
108,0,51,0,0
109,42,-13,-546,-1
110,85,52,4420,4
111,112,-38,-4256,-5
112,65,0,0,0
113,0,53,0,0
114,53,65,3445,3
115,0,54,0,0
116,123,38,4674,4
117,58,12,696,0
118,94,63,5922,5
119,0,-12,0,0
120,0,46,0,0
121,113,33,3729,3
122,129,41,5289,5
123,112,35,3920,3
124,0,-16,0,0
125,25,-74,-1850,-2
126,0,-9,0,0
127,116,-48,-5568,-6
128,57,38,2166,2
129,32,30,960,0
130,0,-56,0,0
131,60,4,240,0
132,0,-51,0,0
133,48,-22,-1056,-2
134,100,13,1300,1
135,127,37,4699,4
136,34,61,2074,2
137,58,53,3074,3
138,0,-41,0,0
139,0,0,0,0
140,0,26,0,0
141,0,22,0,0
142,47,-66,-3102,-4
143,26,-45,-1170,-2
144,98,9,882,0
145,30,51,1530,1
146,53,1,53,0
147,124,16,1984,1
148,136,25,3400,3
149,0,-35,0,0
150,0,-41,0,0
151,91,11,1001,0
152,0,15,0,0
153,88,-44,-3872,-4
154,0,-58,0,0
155,33,26,858,0
156,55,52,2860,2
157,0,30,0,0
158,88,55,4840,4
159,108,21,2268,2
160,0,12,0,0
161,0,1,0,0
162,0,-13,0,0
163,0,1,0,0
164,0,55,0,0
165,3,-62,-186,-1
166,67,5,335,0
167,70,27,1890,1
168,0,12,0,0
169,61,-20,-1220,-2
170,105,3,315,0
171,25,39,975,0
172,0,27,0,0
173,58,22,1276,1
174,0,-11,0,0
175,0,-25,0,0
176,93,-52,-4836,-5
177,81,-7,-567,-1
178,110,41,4510,4
179,0,-59,0,0
180,0,12,0,0
181,0,-43,0,0
182,0,27,0,0
183,0,-7,0,0
184,0,26,0,0
185,141,-19,-2679,-3
186,0,75,0,0
187,7,31,217,0
188,0,-20,0,0
189,47,-46,-2162,-3
190,26,2,52,0
191,116,-6,-696,-1
192,0,-74,0,0
193,0,-20,0,0
194,34,-71,-2414,-3
195,0,59,0,0
196,0,13,0,0
197,82,5,410,0
198,0,1,0,0
199,0,44,0,0
200,0,-74,0,0
201,26,-44,-1144,-2
202,115,7,805,0
203,0,-33,0,0
204,3,-43,-129,-1
205,31,11,341,0
206,118,-22,-2596,-3
207,76,-8,-608,-1
208,0,18,0,0
209,0,58,0,0
210,0,-40,0,0
211,90,76,6840,6
212,0,-3,0,0
213,0,41,0,0
214,136,14,1904,1
215,61,62,3782,3
216,0,35,0,0
217,117,-26,-3042,-3
218,0,-42,0,0
219,0,58,0,0
220,32,5,160,0
221,0,-8,0,0
222,0,84,0,0
223,76,-12,-912,-1
224,87,-48,-4176,-5
225,134,34,4556,4
226,0,51,0,0
227,149,61,9089,8
228,0,-53,0,0
229,82,-42,-3444,-4
230,0,16,0,0
231,0,17,0,0
232,128,6,768,0
233,0,-1,0,0
234,132,32,4224,4
235,0,21,0,0
236,51,54,2754,2
237,108,64,6912,6
238,0,-8,0,0
239,0,-46,0,0
240,0,-12,0,0
241,138,20,2760,2
242,86,55,4730,4
243,10,39,390,0
244,8,-27,-216,-1
245,67,31,2077,2
246,94,61,5734,5
247,127,70,8890,8
248,0,22,0,0
249,0,-41,0,0
250,45,30,1350,1
251,135,12,1620,1
252,0,3,0,0
253,144,20,2880,2
254,0,-36,0,0
255,137,-4,-548,-1
