input_idx,input_val,weight,prod,contrib
0,33,-36,-1188,-2
1,96,33,3168,3
2,0,83,0,0
3,115,-12,-1380,-2
4,128,-44,-5632,-6
5,36,4,144,0
6,18,38,684,0
7,145,-56,-8120,-8
8,0,28,0,0
9,0,40,0,0
10,0,32,0,0
11,0,29,0,0
12,47,-30,-1410,-2
13,111,27,2997,2
14,0,-7,0,0
15,106,16,1696,1
16,0,76,0,0
17,0,-24,0,0
18,35,-41,-1435,-2
19,67,-50,-3350,-4
20,35,45,1575,1
21,31,62,1922,1
22,83,-11,-913,-1
23,78,36,2808,2
24,38,45,1710,1
25,0,-9,0,0
26,126,5,630,0
27,18,-49,-882,-1
28,93,81,7533,7
29,0,-7,0,0
30,88,50,4400,4
31,99,40,3960,3
32,0,-39,0,0
33,0,-54,0,0
34,0,-24,0,0
35,0,17,0,0
36,126,-26,-3276,-4
37,133,44,5852,5
38,92,-12,-1104,-2
39,0,55,0,0
40,0,-16,0,0
41,0,56,0,0
42,0,-34,0,0
43,131,-6,-786,-1
44,123,-28,-3444,-4
45,133,30,3990,3
46,133,76,10108,9
47,39,35,1365,1
48,86,-24,-2064,-3
49,147,67,9849,9
50,0,49,0,0
51,15,63,945,0
52,74,81,5994,5
53,0,-42,0,0
54,17,3,51,0
55,101,-40,-4040,-4
56,0,-21,0,0
57,36,-51,-1836,-2
58,9,43,387,0
59,0,-40,0,0
60,0,42,0,0
61,61,-23,-1403,-2
62,0,-31,0,0
63,23,52,1196,1
64,0,-34,0,0
65,0,75,0,0
66,35,-5,-175,-1
67,148,-26,-3848,-4
68,0,-16,0,0
69,87,-20,-1740,-2
70,0,-24,0,0
71,116,1,116,0
72,0,87,0,0
73,0,27,0,0
74,72,66,4752,4
75,124,1,124,0
76,21,46,966,0
77,30,52,1560,1
78,0,68,0,0
79,6,58,348,0
80,100,24,2400,2
81,0,-8,0,0
82,50,71,3550,3
83,48,71,3408,3
84,79,41,3239,3
85,0,-20,0,0
86,0,60,0,0
87,120,56,6720,6
88,0,11,0,0
89,107,87,9309,9
90,0,-53,0,0
91,0,1,0,0
92,0,-36,0,0
93,19,61,1159,1
94,79,-14,-1106,-2
95,124,-30,-3720,-4
96,0,18,0,0
97,135,-19,-2565,-3
98,0,-17,0,0
99,106,57,6042,5
100,12,51,612,0
101,0,-32,0,0
102,0,-10,0,0
103,75,22,1650,1
104,105,9,945,0
105,35,-11,-385,-1
106,0,-9,0,0
107,66,-19,-1254,-2
108,0,-14,0,0
109,42,59,2478,2
110,85,-26,-2210,-3
111,112,-7,-784,-1
112,65,-67,-4355,-5
113,0,47,0,0
114,53,21,1113,1
115,0,-5,0,0
116,123,38,4674,4
117,58,-22,-1276,-2
118,94,49,4606,4
119,0,-33,0,0
120,0,66,0,0
121,113,-3,-339,-1
122,129,63,8127,7
123,112,-50,-5600,-6
124,0,49,0,0
125,25,11,275,0
126,0,28,0,0
127,116,12,1392,1
128,57,48,2736,2
129,32,4,128,0
130,0,-24,0,0
131,60,84,5040,4
132,0,-56,0,0
133,48,-19,-912,-1
134,100,-3,-300,-1
135,127,-44,-5588,-6
136,34,-3,-102,-1
137,58,85,4930,4
138,0,-11,0,0
139,0,-48,0,0
140,0,46,0,0
141,0,-10,0,0
142,47,43,2021,1
143,26,47,1222,1
144,98,74,7252,7
145,30,83,2490,2
146,53,-29,-1537,-2
147,124,-1,-124,-1
148,136,29,3944,3
149,0,-33,0,0
150,0,-55,0,0
151,91,74,6734,6
152,0,-45,0,0
153,88,-29,-2552,-3
154,0,44,0,0
155,33,51,1683,1
156,55,31,1705,1
157,0,63,0,0
158,88,54,4752,4
159,108,61,6588,6
160,0,-1,0,0
161,0,-21,0,0
162,0,83,0,0
163,0,7,0,0
164,0,-25,0,0
165,3,-44,-132,-1
166,67,-20,-1340,-2
167,70,0,0,0
168,0,-22,0,0
169,61,15,915,0
170,105,72,7560,7
171,25,-8,-200,-1
172,0,-31,0,0
173,58,23,1334,1
174,0,58,0,0
175,0,-66,0,0
176,93,-8,-744,-1
177,81,-32,-2592,-3
178,110,25,2750,2
179,0,1,0,0
180,0,50,0,0
181,0,59,0,0
182,0,22,0,0
183,0,-20,0,0
184,0,26,0,0
185,141,0,0,0
186,0,1,0,0
187,7,40,280,0
188,0,-63,0,0
189,47,18,846,0
190,26,6,156,0
191,116,7,812,0
192,0,-45,0,0
193,0,26,0,0
194,34,8,272,0
195,0,53,0,0
196,0,46,0,0
197,82,-3,-246,-1
198,0,80,0,0
199,0,-38,0,0
200,0,17,0,0
201,26,-29,-754,-1
202,115,-33,-3795,-4
203,0,4,0,0
204,3,69,207,0
205,31,-4,-124,-1
206,118,-5,-590,-1
207,76,68,5168,5
208,0,32,0,0
209,0,-21,0,0
210,0,17,0,0
211,90,56,5040,4
212,0,23,0,0
213,0,19,0,0
214,136,1,136,0
215,61,81,4941,4
216,0,67,0,0
217,117,-1,-117,-1
218,0,-34,0,0
219,0,10,0,0
220,32,-9,-288,-1
221,0,74,0,0
222,0,51,0,0
223,76,44,3344,3
224,87,13,1131,1
225,134,58,7772,7
226,0,46,0,0
227,149,81,12069,11
228,0,5,0,0
229,82,63,5166,5
230,0,-5,0,0
231,0,15,0,0
232,128,-6,-768,-1
233,0,65,0,0
234,132,-2,-264,-1
235,0,47,0,0
236,51,15,765,0
237,108,-30,-3240,-4
238,0,79,0,0
239,0,-19,0,0
240,0,-10,0,0
241,138,-35,-4830,-5
242,86,28,2408,2
243,10,88,880,0
244,8,50,400,0
245,67,-11,-737,-1
246,94,62,5828,5
247,127,22,2794,2
248,0,-29,0,0
249,0,-32,0,0
250,45,51,2295,2
251,135,17,2295,2
252,0,80,0,0
253,144,-38,-5472,-6
254,0,-10,0,0
255,137,-46,-6302,-7
