input_idx,input_val,weight,prod,contrib
0,33,50,1650,1
1,96,60,5760,5
2,0,-37,0,0
3,115,-22,-2530,-3
4,128,-22,-2816,-3
5,36,-10,-360,-1
6,18,74,1332,1
7,145,-38,-5510,-6
8,0,29,0,0
9,0,-46,0,0
10,0,21,0,0
11,0,-1,0,0
12,47,-18,-846,-1
13,111,-33,-3663,-4
14,0,17,0,0
15,106,-12,-1272,-2
16,0,54,0,0
17,0,60,0,0
18,35,12,420,0
19,67,24,1608,1
20,35,42,1470,1
21,31,-61,-1891,-2
22,83,17,1411,1
23,78,53,4134,4
24,38,38,1444,1
25,0,-20,0,0
26,126,47,5922,5
27,18,-32,-576,-1
28,93,-33,-3069,-3
29,0,62,0,0
30,88,-54,-4752,-5
31,99,-33,-3267,-4
32,0,22,0,0
33,0,-3,0,0
34,0,58,0,0
35,0,33,0,0
36,126,-34,-4284,-5
37,133,-10,-1330,-2
38,92,-10,-920,-1
39,0,-47,0,0
40,0,-22,0,0
41,0,68,0,0
42,0,58,0,0
43,131,9,1179,1
44,123,13,1599,1
45,133,51,6783,6
46,133,-1,-133,-1
47,39,45,1755,1
48,86,-61,-5246,-6
49,147,72,10584,10
50,0,73,0,0
51,15,8,120,0
52,74,46,3404,3
53,0,22,0,0
54,17,63,1071,1
55,101,6,606,0
56,0,-33,0,0
57,36,37,1332,1
58,9,32,288,0
59,0,-19,0,0
60,0,-4,0,0
61,61,80,4880,4
62,0,26,0,0
63,23,17,391,0
64,0,63,0,0
65,0,-23,0,0
66,35,10,350,0
67,148,43,6364,6
68,0,52,0,0
69,87,68,5916,5
70,0,-17,0,0
71,116,44,5104,4
72,0,-30,0,0
73,0,15,0,0
74,72,-40,-2880,-3
75,124,-6,-744,-1
76,21,-27,-567,-1
77,30,-44,-1320,-2
78,0,41,0,0
79,6,72,432,0
80,100,30,3000,2
81,0,35,0,0
82,50,25,1250,1
83,48,15,720,0
84,79,76,6004,5
85,0,9,0,0
86,0,63,0,0
87,120,52,6240,6
88,0,73,0,0
89,107,-39,-4173,-5
90,0,81,0,0
91,0,28,0,0
92,0,5,0,0
93,19,60,1140,1
94,79,-33,-2607,-3
95,124,8,992,0
96,0,58,0,0
97,135,32,4320,4
98,0,82,0,0
99,106,10,1060,1
100,12,-60,-720,-1
101,0,-9,0,0
102,0,-31,0,0
103,75,2,150,0
104,105,-36,-3780,-4
105,35,14,490,0
106,0,3,0,0
107,66,-31,-2046,-2
108,0,10,0,0
109,42,34,1428,1
110,85,-40,-3400,-4
111,112,10,1120,1
112,65,71,4615,4
113,0,-6,0,0
114,53,44,2332,2
115,0,33,0,0
116,123,63,7749,7
117,58,17,986,0
118,94,42,3948,3
119,0,11,0,0
120,0,43,0,0
121,113,71,8023,7
122,129,-31,-3999,-4
