input_idx,input_val,weight,prod,contrib
190,26,17,442,0
191,116,-48,-5568,-6
192,0,-12,0,0
193,0,-30,0,0
194,34,11,374,0
195,0,-51,0,0
196,0,49,0,0
197,82,36,2952,2
198,0,-9,0,0
199,0,40,0,0
200,0,-35,0,0
201,26,-1,-26,-1
202,115,-3,-345,-1
203,0,38,0,0
204,3,11,33,0
205,31,34,1054,1
206,118,-34,-4012,-4
207,76,48,3648,3
208,0,12,0,0
209,0,7,0,0
210,0,6,0,0
211,90,64,5760,5
212,0,25,0,0
213,0,67,0,0
214,136,9,1224,1
215,61,58,3538,3
216,0,-16,0,0
217,117,31,3627,3
218,0,-17,0,0
219,0,-30,0,0
220,32,46,1472,1
221,0,34,0,0
222,0,14,0,0
223,76,-37,-2812,-3
224,87,74,6438,6
225,134,-17,-2278,-3
226,0,-24,0,0
227,149,-12,-1788,-2
228,0,18,0,0
229,82,12,984,0
230,0,-14,0,0
231,0,26,0,0
232,128,71,9088,8
233,0,42,0,0
234,132,41,5412,5
235,0,-7,0,0
236,51,-28,-1428,-2
237,108,-27,-2916,-3
238,0,-23,0,0
239,0,74,0,0
240,0,61,0,0
241,138,76,10488,10
242,86,43,3698,3
243,10,43,430,0
244,8,14,112,0
245,67,63,4221,4
246,94,59,5546,5
247,127,-13,-1651,-2
248,0,-55,0,0
249,0,-28,0,0
250,45,5,225,0
251,135,3,405,0
252,0,40,0,0
253,144,3,432,0
254,0,-6,0,0
255,137,-19,-2603,-3
