input_idx,input_val,weight,prod,contrib
0,33,10,330,0
1,96,71,6816,6
2,0,-13,0,0
3,115,-14,-1610,-2
4,128,53,6784,6
5,36,64,2304,2
6,18,7,126,0
7,145,50,7250,7
8,0,12,0,0
9,0,28,0,0
10,0,78,0,0
11,0,73,0,0
12,47,72,3384,3
13,111,22,2442,2
14,0,46,0,0
15,106,59,6254,6
16,0,-37,0,0
17,0,1,0,0
18,35,21,735,0
19,67,18,1206,1
20,35,1,35,0
21,31,-28,-868,-1
22,83,-38,-3154,-4
23,78,42,3276,3
24,38,31,1178,1
25,0,68,0,0
26,126,-10,-1260,-2
27,18,5,90,0
28,93,-7,-651,-1
29,0,53,0,0
30,88,80,7040,6
31,99,7,693,0
32,0,19,0,0
33,0,43,0,0
34,0,62,0,0
35,0,64,0,0
36,126,91,11466,11
37,133,30,3990,3
38,92,66,6072,5
39,0,-46,0,0
40,0,-10,0,0
41,0,-13,0,0
42,0,66,0,0
43,131,26,3406,3
44,123,33,4059,3
45,133,-36,-4788,-5
46,133,-45,-5985,-6
47,39,-9,-351,-1
48,86,53,4558,4
49,147,1,147,0
50,0,19,0,0
51,15,-41,-615,-1
52,74,73,5402,5
53,0,-38,0,0
54,17,-2,-34,-1
55,101,22,2222,2
56,0,33,0,0
57,36,45,1620,1
58,9,25,225,0
59,0,-52,0,0
60,0,37,0,0
61,61,-7,-427,-1
62,0,-19,0,0
63,23,-5,-115,-1
64,0,30,0,0
65,0,-14,0,0
66,35,68,2380,2
67,148,46,6808,6
68,0,1,0,0
69,87,10,870,0
70,0,-22,0,0
71,116,78,9048,8
72,0,57,0,0
73,0,51,0,0
74,72,52,3744,3
75,124,56,6944,6
76,21,41,861,0
77,30,-22,-660,-1
78,0,65,0,0
79,6,31,186,0
80,100,9,900,0
81,0,81,0,0
82,50,-36,-1800,-2
83,48,14,672,0
84,79,59,4661,4
85,0,15,0,0
86,0,59,0,0
87,120,-31,-3720,-4
88,0,36,0,0
89,107,18,1926,1
90,0,1,0,0
91,0,86,0,0
92,0,4,0,0
93,19,59,1121,1
94,79,17,1343,1
95,124,29,3596,3
96,0,-54,0,0
97,135,-18,-2430,-3
98,0,-13,0,0
99,106,23,2438,2
100,12,53,636,0
101,0,60,0,0
102,0,52,0,0
103,75,19,1425,1
104,105,23,2415,2
105,35,65,2275,2
106,0,77,0,0
107,66,51,3366,3
108,0,-29,0,0
109,42,4,168,0
110,85,5,425,0
111,112,10,1120,1
112,65,-7,-455,-1
113,0,6,0,0
114,53,-39,-2067,-3
115,0,19,0,0
116,123,-3,-369,-1
117,58,23,1334,1
118,94,40,3760,3
119,0,84,0,0
120,0,80,0,0
121,113,56,6328,6
122,129,69,8901,8
123,112,-38,-4256,-5
124,0,-37,0,0
125,25,-15,-375,-1
126,0,17,0,0
127,116,-60,-6960,-7
128,57,37,2109,2
129,32,86,2752,2
130,0,47,0,0
131,60,76,4560,4
132,0,80,0,0
133,48,10,480,0
134,100,-18,-1800,-2
135,127,-16,-2032,-2
136,34,12,408,0
137,58,-8,-464,-1
138,0,79,0,0
139,0,-37,0,0
140,0,12,0,0
141,0,41,0,0
142,47,6,282,0
143,26,44,1144,1
144,98,56,5488,5
145,30,27,810,0
146,53,6,318,0
147,124,-19,-2356,-3
148,136,-47,-6392,-7
149,0,51,0,0
150,0,-28,0,0
151,91,37,3367,3
152,0,-57,0,0
153,88,-13,-1144,-2
154,0,70,0,0
155,33,36,1188,1
156,55,-2,-110,-1
157,0,33,0,0
158,88,1,88,0
159,108,10,1080,1
160,0,0,0,0
161,0,-25,0,0
162,0,37,0,0
163,0,-7,0,0
164,0,1,0,0
165,3,26,78,0
166,67,45,3015,2
167,70,-29,-2030,-2
168,0,79,0,0
169,61,-20,-1220,-2
170,105,-9,-945,-1
171,25,2,50,0
172,0,1,0,0
173,58,-19,-1102,-2
174,0,-8,0,0
175,0,3,0,0
176,93,40,3720,3
177,81,-1,-81,-1
178,110,-41,-4510,-5
179,0,83,0,0
180,0,76,0,0
181,0,34,0,0
182,0,-45,0,0
183,0,-34,0,0
184,0,-16,0,0
185,141,17,2397,2
186,0,2,0,0
187,7,-51,-357,-1
188,0,-29,0,0
189,47,-51,-2397,-3
